mon_level,cpm
1,0.09400000
2,0.13513740
3,0.16639790
4,0.19265090
5,0.21573250
6,0.23657270
7,0.25572010
8,0.27353040
9,0.29024990
10,0.30605740
11,0.32108760
12,0.33544500
13,0.34921270
14,0.36245780
15,0.37523560
16,0.38759240
17,0.39956730
18,0.41119360
19,0.42250000
20,0.43351170
21,0.44310760
22,0.45306000
23,0.46279840
24,0.47233610
25,0.48168500
26,0.49085580
27,0.49985840
28,0.50870180
29,0.51739400
30,0.52594250
31,0.53435430
32,0.54263580
33,0.55079270
34,0.55883060
35,0.56675450
36,0.57456920
37,0.58227890
38,0.58988790
39,0.59740000
40,0.60481880
41,0.61215730
42,0.61940410
43,0.62656710
44,0.63364920
45,0.64065300
46,0.64758100
47,0.65443560
48,0.66121930
49,0.66793400
50,0.67458190
51,0.68116490
52,0.68768490
53,0.69414370
54,0.70054290
55,0.70688420
56,0.71316910
57,0.71939910
58,0.72557560
59,0.73170000
60,0.73777350
61,0.73776950
62,0.74078560
63,0.74378940
64,0.74678120
65,0.74976100
66,0.75272910
67,0.75568550
68,0.75863040
69,0.76156380
70,0.76448610
71,0.76739720
72,0.77029730
73,0.77318650
74,0.77606500
75,0.77893280
76,0.78179010
77,0.78463700
78,0.78747360
79,0.79030000
80,0.79311640
