id,type1,type2,name,_hp,_atk,_def,_sAtk,_sDef,_spd,total,sta,atk,def
1,GRASS,POISON,Bulbasaur,45,49,49,65,65,45,318,90,126,126
2,GRASS,POISON,Ivysaur,60,62,63,80,80,60,405,120,156,158
3,GRASS,POISON,Venusaur,80,82,83,100,100,80,525,160,198,200
4,FIRE,NONE,Charmander,39,52,43,60,50,65,309,78,128,108
5,FIRE,NONE,Charmeleon,58,64,58,80,65,80,405,116,160,140
6,FIRE,FLYING,Charizard,78,84,78,109,85,100,534,156,212,182
7,WATER,NONE,Squirtle,44,48,65,50,64,43,314,88,112,142
8,WATER,NONE,Wartortle,59,63,80,65,80,58,405,118,144,176
9,WATER,NONE,Blastoise,79,83,100,85,105,78,530,158,186,222
10,BUG,NONE,Caterpie,45,30,35,20,20,45,195,90,62,66
11,BUG,NONE,Metapod,50,20,55,25,25,30,205,100,56,86
12,BUG,FLYING,Butterfree,60,45,50,90,80,70,395,120,144,144
13,BUG,POISON,Weedle,40,35,30,20,20,50,195,80,68,64
14,BUG,POISON,Kakuna,45,25,50,25,25,35,205,90,62,82
15,BUG,POISON,Beedrill,65,90,40,45,80,75,395,130,144,130
16,NORMAL,FLYING,Pidgey,40,45,40,35,35,56,251,80,94,90
17,NORMAL,FLYING,Pidgeotto,63,60,55,50,50,71,349,126,126,122
18,NORMAL,FLYING,Pidgeot,83,80,75,70,70,101,479,166,170,166
19,NORMAL,NONE,Rattata,30,56,35,25,35,72,253,60,92,86
20,NORMAL,NONE,Raticate,55,81,60,50,70,97,413,110,146,150
21,NORMAL,FLYING,Spearow,40,60,30,31,31,70,262,80,102,78
22,NORMAL,FLYING,Fearow,65,90,65,61,61,100,442,130,168,146
23,POISON,NONE,Ekans,35,60,44,40,54,55,288,70,112,112
24,POISON,NONE,Arbok,60,85,69,65,79,80,438,120,166,166
25,ELECTRIC,NONE,Pikachu,35,55,40,50,50,90,320,70,124,108
26,ELECTRIC,NONE,Raichu,60,90,55,90,80,110,485,120,200,154
27,GROUND,NONE,Sandshrew,50,75,85,20,30,40,300,100,90,114
28,GROUND,NONE,Sandslash,75,100,110,45,55,65,450,150,150,172
29,POISON,NONE,NidoranF,55,47,52,40,40,41,275,110,100,104
30,POISON,NONE,Nidorina,70,62,67,55,55,56,365,140,132,136
31,POISON,GROUND,Nidoqueen,90,92,87,75,85,76,505,180,184,190
32,POISON,NONE,NidoranM,46,57,40,40,40,50,273,92,110,94
33,POISON,NONE,Nidorino,61,72,57,55,55,65,365,122,142,128
34,POISON,GROUND,Nidoking,81,102,77,85,75,85,505,162,204,170
35,FAIRY,NONE,Clefairy,70,45,48,60,65,35,323,140,116,124
36,FAIRY,NONE,Clefable,95,70,73,95,90,60,483,190,178,178
37,FIRE,NONE,Vulpix,38,41,40,50,65,65,299,76,106,118
38,FIRE,NONE,Ninetales,73,76,75,81,100,100,505,146,176,194
39,NORMAL,FAIRY,Jigglypuff,115,45,20,45,25,20,270,230,98,54
