,normal,fire,water,electric,grass,ice,fighting,poison,ground,flying,psychic,bug,rock,ghost,dragon,dark,steel,fairy
normal,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.80,0.80,1.00,1.00,0.80,1.00
fire,1.00,0.80,0.80,1.00,1.25,1.25,1.00,1.00,1.00,1.00,1.00,1.25,0.80,1.00,0.80,1.00,1.25,1.00
water,1.00,1.25,0.80,1.00,0.80,1.00,1.00,1.00,1.25,1.00,1.00,1.00,1.25,1.00,0.80,1.00,1.00,1.00
electric,1.00,1.00,1.25,0.80,0.80,1.00,1.00,1.00,0.80,1.25,1.00,1.00,1.00,1.00,0.80,1.00,1.00,1.00
grass,1.00,0.80,1.25,1.00,0.80,1.00,1.00,0.80,1.25,0.80,1.00,0.80,1.25,1.00,0.80,1.00,0.80,1.00
ice,1.00,0.80,0.80,1.00,1.25,0.80,1.00,1.00,1.25,1.25,1.00,1.00,1.00,1.00,1.25,1.00,0.80,1.00
fighting,1.25,1.00,1.00,1.00,1.00,1.25,1.00,0.80,1.00,0.80,0.80,0.80,1.25,0.80,1.00,1.25,1.25,0.80
poison,1.00,1.00,1.00,1.00,1.25,1.00,1.00,0.80,0.80,1.00,1.00,1.00,0.80,0.80,1.00,1.00,0.80,1.25
ground,1.00,1.25,1.00,1.25,0.80,1.00,1.00,1.25,1.00,0.80,1.00,0.80,1.25,1.00,1.00,1.00,1.25,1.00
flying,1.00,1.00,1.00,0.80,1.25,1.00,1.25,1.00,1.00,1.00,1.00,1.25,0.80,1.00,1.00,1.00,0.80,1.00
psychic,1.00,1.00,1.00,1.00,1.00,1.00,1.25,1.25,1.00,1.00,0.80,1.00,1.00,1.00,1.00,0.80,0.80,1.00
bug,1.00,0.80,1.00,1.00,1.25,1.00,0.80,0.80,1.00,0.80,1.25,1.00,1.00,0.80,1.00,1.25,0.80,0.80
rock,1.00,1.25,1.00,1.00,1.00,1.25,0.80,1.00,0.80,1.25,1.00,1.25,1.00,1.00,1.00,1.00,0.80,1.00
ghost,0.80,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.25,1.00,1.00,1.25,1.00,0.80,1.00,1.00
dragon,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.25,1.00,0.80,0.80
dark,1.00,1.00,1.00,1.00,1.00,1.00,0.80,1.00,1.00,1.00,1.25,1.00,1.00,1.25,1.00,0.80,1.00,0.80
steel,1.00,0.80,0.80,0.80,1.00,1.25,1.00,1.00,1.00,1.00,1.00,1.00,1.25,1.00,1.00,1.00,0.80,1.25
fairy,1.00,0.80,1.00,1.00,1.00,1.00,1.25,0.80,1.00,1.00,1.00,1.00,1.00,1.00,1.25,1.25,0.80,1.00
